"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"WP4A0960",2,0.049425079013047,0.11132843154669,0.042138882199354,57,-1.46903167105349,0.057,999,"WP4A0960"
"WP4A0962",3,0.182195033924536,0.14708385279093,0.0407700536073114,795,0.8612002689962,0.795,999,"WP4A0962"
"WP4A0963",19,0.228666441391365,0.20959283407134,0.0179458508925203,864,1.06284218197616,0.864,999,"WP4A0963"
"WP4A0964",2,0.0894927714610747,0.109143881098412,0.0424041838535614,334,-0.46342383820428,0.334,999,"WP4A0964"
"WP4A0965",5,0.135090818290847,0.177150832618331,0.0339366280949674,120,-1.23936927999402,0.12,999,"WP4A0965"
"WP4A0966",3,0.139553184656038,0.14666716331627,0.0396339673881404,451,-0.179491964318471,0.451,999,"WP4A0966"
"WP4A0967",3,0.146449794577653,0.148167791571669,0.0394215216295463,485,-0.0435801796328715,0.485,999,"WP4A0967"
"WP4A0968",5,0.1749517222705,0.175952520174022,0.0330074871226469,494,-0.03032033004521,0.494,999,"WP4A0968"
"WP4A0969",3,0.179381898538617,0.14662425510768,0.0391760152549025,792,0.836165781991765,0.792,999,"WP4A0969"
"WP4A0970",6,0.183258379293262,0.183767426544076,0.0309305806719474,488,-0.0164577334067077,0.488,999,"WP4A0970"
"WP4A0971",1,NA,NA,NA,NA,NA,NA,999,"WP4A0971"
"WP4A0972",6,0.168540998573393,0.184042056569049,0.0322997715011567,307,-0.479912311302316,0.307,999,"WP4A0972"
"WP4A0973",3,0.11380290694792,0.146989592516656,0.0398146585828612,213,-0.833529326885192,0.213,999,"WP4A0973"
"WP4A0974",5,0.191365404347029,0.176761082986037,0.0327327409610542,668,0.446168604650858,0.668,999,"WP4A0974"
"WP4A0976",3,0.177671535113858,0.146828896734178,0.0391334160234838,784,0.788140712305075,0.784,999,"WP4A0976"
"WP4A0978",5,0.125780164830868,0.175801323761251,0.0343450787544791,71,-1.45642871539082,0.071,999,"WP4A0978"
"WP4A0979",2,0.0767668982729289,0.109375790465843,0.0419666252356309,239,-0.777019643819925,0.239,999,"WP4A0979"
"WP4A0980",7,0.184775267152617,0.190162031628938,0.028405385391948,410,-0.189638844958183,0.41,999,"WP4A0980"
"WP4A0981",6,0.19784885423134,0.184204667160947,0.0320391580530282,644,0.425859726020596,0.644,999,"WP4A0981"
"WP4A0982",3,0.1411290960423,0.145720935661981,0.039237558797634,465,-0.117026638771354,0.465,999,"WP4A0982"
"WP4A0983",3,0.169414591673147,0.145412860633186,0.0404149392896344,719,0.593882644928693,0.719,999,"WP4A0983"
"WP4A0984",7,0.193094279253278,0.189862810605347,0.0286514068974816,537,0.112785688308207,0.537,999,"WP4A0984"
"WP4A0985",2,0.0811467895432698,0.109589630881492,0.041560305161566,276,-0.684375180298867,0.276,999,"WP4A0985"
"WP4A0986",8,0.17074880435874,0.193718822051085,0.0278277900230786,207,-0.825434490963728,0.207,999,"WP4A0986"
"WP4A0987",4,0.168322353521606,0.165250032668614,0.0362066481726715,542,0.0848551580455531,0.542,999,"WP4A0987"
"WP4A0988",2,0.143133230705667,0.108579618700956,0.0418805950414889,805,0.825050646259447,0.805,999,"WP4A0988"
"WP4A0989",4,0.160511445534925,0.164665507677684,0.036732933364761,476,-0.113088222536123,0.476,999,"WP4A0989"
"WP4A0990",4,0.165985989790152,0.165353433955769,0.0363540016909692,514,0.0173998956087407,0.514,999,"WP4A0990"
"WP4A0991",5,0.159344054645332,0.178562514391003,0.0331584175740254,289,-0.579595202417799,0.289,999,"WP4A0991"
"WP4A0993",2,0.0883858791648936,0.110729049900307,0.0412537690492387,314,-0.541603137127805,0.314,999,"WP4A0993"
"WP4A0994",2,0.103849567237775,0.110399114498588,0.0422751464888322,454,-0.154926660337984,0.454,999,"WP4A0994"
"WP4A0995",4,0.176663577044305,0.166504907375901,0.0349651236682126,613,0.29053721544931,0.613,999,"WP4A0995"
"WP4A0996",8,0.205987738798585,0.195144005698752,0.0275367299917346,653,0.393791604997674,0.653,999,"WP4A0996"
"WP4A1021",1,NA,NA,NA,NA,NA,NA,999,"WP4A1021"
"WP4A1022",8,0.191912760183434,0.195212035381036,0.0279606999834825,458,-0.117996874168059,0.458,999,"WP4A1022"
"WP4A1023",4,0.142347940472464,0.167715325748872,0.0369092688009717,243,-0.687290377200329,0.243,999,"WP4A1023"
"WP4A1024",9,0.226712108022586,0.199167049472741,0.0256475530056897,862,1.07398388235067,0.862,999,"WP4A1024"
"WP4A1025",2,0.0641650507436676,0.11017111597345,0.0419913854878242,147,-1.09560722265575,0.147,999,"WP4A1025"
"WP4A1026",3,0.131854300053828,0.148693863892798,0.0393603857473801,362,-0.427830254181173,0.362,999,"WP4A1026"
"WP4A1028",4,0.164394919436547,0.167274351446111,0.0372751029622553,466,-0.0772481302729126,0.466,999,"WP4A1028"
"WP4A1030",8,0.248010296018104,0.195929542858149,0.0265835090136505,982,1.95913764180685,0.982,999,"WP4A1030"
"WP4A1031",6,0.193626617364103,0.183614692339593,0.0304149215630021,617,0.3291780649104,0.617,999,"WP4A1031"
"WP4A1032",5,0.222126912809023,0.178632728846222,0.0346512938516233,891,1.25519653462415,0.891,999,"WP4A1032"
"WP4A1033",1,NA,NA,NA,NA,NA,NA,999,"WP4A1033"
"WP4A1034",2,0.0849144639284337,0.110148605440088,0.0418348158762945,290,-0.603185193554376,0.29,999,"WP4A1034"
"WP4A1035",13,0.185673109698363,0.204948948479875,0.0218063253696564,186,-0.883956304180145,0.186,999,"WP4A1035"
"WP4A1036",10,0.207144861713719,0.199947755555841,0.0246343528250261,623,0.292157306059467,0.623,999,"WP4A1036"
"WP4A1037",5,0.155715186488364,0.176574152736746,0.0341588483034704,275,-0.61064606344655,0.275,999,"WP4A1037"
"WP4A1038",3,0.0792870821411485,0.146222703206621,0.0395155397385261,45,-1.69390628366422,0.045,999,"WP4A1038"
"WP4A1039",2,0.0641650507436676,0.11017111597345,0.0419913854878242,147,-1.09560722265575,0.147,999,"WP4A1039"
"WP4A1040",1,NA,NA,NA,NA,NA,NA,999,"WP4A1040"
"WP4A1041",1,NA,NA,NA,NA,NA,NA,999,"WP4A1041"
"WP4A1042",4,0.123707777170915,0.164854462604593,0.0358640557458153,121,-1.14729593678146,0.121,999,"WP4A1042"
"WP4A1043",4,0.160040836178038,0.165404007441319,0.036730490937336,450,-0.146014145915752,0.45,999,"WP4A1043"
"WP4A1044",4,0.18357371759344,0.164513400083852,0.0361859562593826,688,0.526732453136313,0.688,999,"WP4A1044"
"WP4A1045",6,0.143402884705682,0.18511748134098,0.0307202917734921,87,-1.35788412892915,0.087,999,"WP4A1045"
"WP4A1046",3,0.151332172194466,0.147560429900574,0.0401053652668183,547,0.094045828252616,0.547,999,"WP4A1046"
"WP4A1047",1,NA,NA,NA,NA,NA,NA,999,"WP4A1047"
"WP4A1048",3,0.18576452569424,0.147754061061378,0.0405421465889137,813,0.937554318923394,0.813,999,"WP4A1048"
"WP4A1337",4,0.115588926455389,0.166758308130932,0.0368166029033325,85,-1.38984527741183,0.085,999,"WP4A1337"
"WP4A1338",1,NA,NA,NA,NA,NA,NA,999,"WP4A1338"
"WP4A1339",1,NA,NA,NA,NA,NA,NA,999,"WP4A1339"
"WP4A1340",2,0.0781656252564625,0.109822792767996,0.0416235040300693,226,-0.760559886756861,0.226,999,"WP4A1340"
