"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"WP4A0962",2,0.156786821109885,0.115927548520524,0.043178784313079,833,0.946281217486337,0.833,999,"WP4A0962"
"WP4A0963",7,0.200453217813583,0.197251549839552,0.0293189644399852,549,0.109201263932255,0.549,999,"WP4A0963"
"WP4A0964",1,NA,NA,NA,NA,NA,NA,999,"WP4A0964"
"WP4A0965",5,0.13589556227155,0.182621755169647,0.0330481187360524,84,-1.41388359414005,0.084,999,"WP4A0965"
"WP4A0967",2,0.129826418453168,0.114533409258964,0.0419275734835228,662,0.364748253323412,0.662,999,"WP4A0967"
"WP4A0968",4,0.175980513397312,0.171832381805014,0.0366936469139147,537,0.113047678308724,0.537,999,"WP4A0968"
"WP4A0969",3,0.180534591613693,0.152627807640571,0.0404516620051518,744,0.689879787128843,0.744,999,"WP4A0969"
"WP4A0970",2,0.0882322253628933,0.115839817303171,0.04148838741758,251,-0.665429380573587,0.251,999,"WP4A0970"
"WP4A0971",1,NA,NA,NA,NA,NA,NA,999,"WP4A0971"
"WP4A0972",5,0.184055439322877,0.182467352266025,0.0335893994819009,522,0.0472794119974594,0.522,999,"WP4A0972"
"WP4A0973",2,0.081795940751589,0.112963046962326,0.0421414849869382,250,-0.739582532993254,0.25,999,"WP4A0973"
"WP4A0974",3,0.195129652758746,0.153724665050538,0.0393233841732802,845,1.05293551352942,0.845,999,"WP4A0974"
"WP4A0976",2,0.0789209121607437,0.113816143874634,0.0420109657455318,213.5,-0.830621983918603,0.2135,999,"WP4A0976"
"WP4A0978",5,0.126753241789641,0.183888306067828,0.0324030175020358,33,-1.76326369217301,0.033,999,"WP4A0978"
"WP4A0980",6,0.162475996421635,0.190240095839738,0.030124356471083,183,-0.921649544439373,0.183,999,"WP4A0980"
"WP4A0981",5,0.188804234698695,0.18340035582232,0.0326801817278873,563,0.16535645123918,0.563,999,"WP4A0981"
"WP4A0982",3,0.14185412762599,0.152386975597924,0.0400929706369644,403,-0.262710590026054,0.403,999,"WP4A0982"
"WP4A0983",2,0.14375279699058,0.114906864165321,0.0446139030924447,736.5,0.646568240521078,0.7365,999,"WP4A0983"
"WP4A0984",7,0.194284744195444,0.196751338680579,0.0289430744560655,453,-0.0852222692817071,0.453,999,"WP4A0984"
"WP4A0985",1,NA,NA,NA,NA,NA,NA,999,"WP4A0985"
"WP4A0986",5,0.113049322479489,0.184335935973638,0.032550181895879,16,-2.19005269224545,0.016,999,"WP4A0986"
"WP4A0987",4,0.169089763530691,0.172639465299393,0.0370396042022196,465,-0.0958353050783759,0.465,999,"WP4A0987"
"WP4A0988",2,0.14375279699058,0.114906864165321,0.0446139030924447,736.5,0.646568240521078,0.7365,999,"WP4A0988"
"WP4A0989",3,0.170184869403032,0.153795488816212,0.03906022150274,660,0.419592617662716,0.66,999,"WP4A0989"
"WP4A0990",3,0.167150803307129,0.15322323188607,0.0401958217485954,632,0.346493013830361,0.632,999,"WP4A0990"
"WP4A0991",5,0.160394461630093,0.184650211117039,0.0340743671865626,246,-0.711847394087822,0.246,999,"WP4A0991"
"WP4A0993",2,0.0889286346413155,0.116202242416849,0.0417014933247453,247,-0.654019930728701,0.247,999,"WP4A0993"
"WP4A0994",2,0.104376274339174,0.115916734996329,0.0435349714438152,407,-0.265084833512487,0.407,999,"WP4A0994"
"WP4A0995",4,0.177634417660892,0.172458189719796,0.0368569483915396,560,0.140441033970236,0.56,999,"WP4A0995"
"WP4A0996",1,NA,NA,NA,NA,NA,NA,999,"WP4A0996"
"WP4A1022",2,0.14375279699058,0.114906864165321,0.0446139030924447,736.5,0.646568240521078,0.7365,999,"WP4A1022"
"WP4A1023",3,0.139255850418445,0.153098726453232,0.0395782714054031,379,-0.349759490327244,0.379,999,"WP4A1023"
"WP4A1024",3,0.184715795975538,0.15251549520175,0.0404072641515144,778,0.796893861783042,0.778,999,"WP4A1024"
"WP4A1025",1,NA,NA,NA,NA,NA,NA,999,"WP4A1025"
"WP4A1028",2,0.129826418453168,0.114533409258964,0.0419275734835228,662,0.364748253323412,0.662,999,"WP4A1028"
"WP4A1030",2,0.216032295117709,0.113287483898919,0.0407728876627846,991,2.51992971575987,0.991,999,"WP4A1030"
"WP4A1031",4,0.198977302870964,0.172465740614518,0.0358532440294054,771,0.739446679767728,0.771,999,"WP4A1031"
"WP4A1032",5,0.223655987487849,0.183134662671954,0.0328548784752958,883,1.23334270879631,0.883,999,"WP4A1032"
"WP4A1033",1,NA,NA,NA,NA,NA,NA,999,"WP4A1033"
"WP4A1034",1,NA,NA,NA,NA,NA,NA,999,"WP4A1034"
"WP4A1035",9,0.187285242011874,0.204040630527451,0.0254520790145622,249,-0.658311193596069,0.249,999,"WP4A1035"
"WP4A1036",8,0.221141611079301,0.201582003547803,0.0272816377426703,771,0.716951369122005,0.771,999,"WP4A1036"
"WP4A1037",4,0.142644237936646,0.172621321407054,0.0362602427724801,213,-0.82672042927301,0.213,999,"WP4A1037"
"WP4A1038",1,NA,NA,NA,NA,NA,NA,999,"WP4A1038"
"WP4A1039",2,0.0645386652836593,0.11636222956849,0.0415000655051919,101,-1.24875861408815,0.101,999,"WP4A1039"
"WP4A1040",1,NA,NA,NA,NA,NA,NA,999,"WP4A1040"
"WP4A1042",4,0.124536172122668,0.171987526589781,0.0357646270067532,101,-1.32676777135558,0.101,999,"WP4A1042"
"WP4A1043",3,0.173943650679039,0.152338896903546,0.039944388975502,708,0.54087080387544,0.708,999,"WP4A1043"
"WP4A1044",4,0.184638795377249,0.172662272191111,0.0358389592492805,639,0.334176087615569,0.639,999,"WP4A1044"
"WP4A1045",5,0.133786373336059,0.183612994665106,0.0346545042803485,81,-1.43781082326148,0.081,999,"WP4A1045"
"WP4A1046",3,0.152444457171829,0.152682705757348,0.0388813492318623,502,-0.00612758019527956,0.502,999,"WP4A1046"
"WP4A1047",1,NA,NA,NA,NA,NA,NA,999,"WP4A1047"
"WP4A1337",3,0.111666530104912,0.152345750019596,0.0393431111509178,154,-1.03396042470158,0.154,999,"WP4A1337"
"WP4A1340",2,0.0789209121607437,0.113816143874634,0.0420109657455318,213.5,-0.830621983918603,0.2135,999,"WP4A1340"
"WP4A1342",1,NA,NA,NA,NA,NA,NA,999,"WP4A1342"
"WP4A1343",5,0.1758200956031,0.183867417792629,0.0331070833186569,389,-0.243069500024321,0.389,999,"WP4A1343"
"WP4A1344",5,0.21433833666936,0.183576501732711,0.0333078916344704,811,0.923559956128017,0.811,999,"WP4A1344"
"WP4A1345",1,NA,NA,NA,NA,NA,NA,999,"WP4A1345"
"WP4B0852",2,0.19019600726004,0.115582194104146,0.0416084249337145,959,1.79323810681993,0.959,999,"WP4B0852"
"WP4B0853",2,0.126716706110372,0.114666882587879,0.0413419029872691,645,0.291467558380261,0.645,999,"WP4B0853"
"WP4B0855",4,0.207618634770578,0.172030184994107,0.0362586264111391,829,0.981516767153037,0.829,999,"WP4B0855"
"WP4B0856",1,NA,NA,NA,NA,NA,NA,999,"WP4B0856"
"WP4B0857",1,NA,NA,NA,NA,NA,NA,999,"WP4B0857"
"WP4B0934",2,0.126716706110372,0.114666882587879,0.0413419029872691,645,0.291467558380261,0.645,999,"WP4B0934"
"WP4B0936",3,0.184315075114447,0.152047447883451,0.0384534862785368,805,0.839133986376838,0.805,999,"WP4B0936"
"WP4B0938",5,0.137747044584799,0.185131407973003,0.031895405037094,69,-1.48561723336314,0.069,999,"WP4B0938"
"WP4B0939",3,0.152099784617405,0.15357956877843,0.0392755831688009,503,-0.0376769494335788,0.503,999,"WP4B0939"
"WP4B0940",1,NA,NA,NA,NA,NA,NA,999,"WP4B0940"
"WP4B0941",3,0.155466046179623,0.152630543195433,0.0395077579357432,529,0.0717707896459513,0.529,999,"WP4B0941"
"WP4B0942",2,0.0932554793406118,0.114218430342883,0.0423683825483408,322,-0.494778175172318,0.322,999,"WP4B0942"
"WP4B0943",4,0.153864844658917,0.170434486015225,0.0357396011636715,310,-0.463621328073205,0.31,999,"WP4B0943"
"WP4B0946",1,NA,NA,NA,NA,NA,NA,999,"WP4B0946"
"WP4B0947",3,0.152444457171829,0.152682705757348,0.0388813492318623,502,-0.00612758019527956,0.502,999,"WP4B0947"
"WP4B0948",1,NA,NA,NA,NA,NA,NA,999,"WP4B0948"
