"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"WP4A0960",2,0.0530070920300894,0.117062683368489,0.0442685268588715,67,-1.44697815544235,0.067,999,"WP4A0960"
"WP4A0962",1,NA,NA,NA,NA,NA,NA,999,"WP4A0962"
"WP4A0963",12,0.216577134744687,0.211991452342804,0.022595863297133,581,0.202943447726776,0.581,999,"WP4A0963"
"WP4A0964",1,NA,NA,NA,NA,NA,NA,999,"WP4A0964"
"WP4A0966",3,0.15166252804434,0.154844413524737,0.0408711226601658,492,-0.0778516779892219,0.492,999,"WP4A0966"
"WP4A0967",1,NA,NA,NA,NA,NA,NA,999,"WP4A0967"
"WP4A0968",1,NA,NA,NA,NA,NA,NA,999,"WP4A0968"
"WP4A0970",4,0.180575969121951,0.175604979734314,0.0360489387145298,554,0.137895582086374,0.554,999,"WP4A0970"
"WP4A0972",1,NA,NA,NA,NA,NA,NA,999,"WP4A0972"
"WP4A0973",1,NA,NA,NA,NA,NA,NA,999,"WP4A0973"
"WP4A0974",2,0.112712351365566,0.114779646689539,0.0435351569904875,470,-0.0474856522149379,0.47,999,"WP4A0974"
"WP4A0976",1,NA,NA,NA,NA,NA,NA,999,"WP4A0976"
"WP4A0979",2,0.0885618728196558,0.117479050040983,0.0417850561839718,246,-0.692045909762813,0.246,999,"WP4A0979"
"WP4A0980",1,NA,NA,NA,NA,NA,NA,999,"WP4A0980"
"WP4A0981",1,NA,NA,NA,NA,NA,NA,999,"WP4A0981"
"WP4A0983",1,NA,NA,NA,NA,NA,NA,999,"WP4A0983"
"WP4A0985",1,NA,NA,NA,NA,NA,NA,999,"WP4A0985"
"WP4A0986",3,0.185165413390236,0.155155445090241,0.0408346305724671,769,0.734914651590589,0.769,999,"WP4A0986"
"WP4A0989",1,NA,NA,NA,NA,NA,NA,999,"WP4A0989"
"WP4A0990",1,NA,NA,NA,NA,NA,NA,999,"WP4A0990"
"WP4A0996",7,0.22147932628526,0.198427266646243,0.0287777560895515,776,0.801037425130831,0.776,999,"WP4A0996"
"WP4A1021",1,NA,NA,NA,NA,NA,NA,999,"WP4A1021"
"WP4A1022",6,0.189690996229222,0.191681182784729,0.0307480341795,485,-0.0647256518543223,0.485,999,"WP4A1022"
"WP4A1023",1,NA,NA,NA,NA,NA,NA,999,"WP4A1023"
"WP4A1024",6,0.201840732565456,0.192388357104669,0.0296524487286302,628,0.318772171138122,0.628,999,"WP4A1024"
"WP4A1025",1,NA,NA,NA,NA,NA,NA,999,"WP4A1025"
"WP4A1026",3,0.143060520672858,0.154449480330105,0.0406614802771243,400,-0.2800921063283,0.4,999,"WP4A1026"
"WP4A1028",2,0.123401925746873,0.113997727009128,0.0420546389868312,626,0.223618582023498,0.626,999,"WP4A1028"
"WP4A1030",6,0.200265172766578,0.192059843856456,0.0299917994046845,610,0.273585749204504,0.61,999,"WP4A1030"
"WP4A1031",2,0.113666440568073,0.115157365471324,0.0431999536206201,496.5,-0.0345121875903811,0.4965,999,"WP4A1031"
"WP4A1034",1,NA,NA,NA,NA,NA,NA,999,"WP4A1034"
"WP4A1035",4,0.170955747156676,0.174691474454631,0.0372739843660377,451,-0.100223449719515,0.451,999,"WP4A1035"
"WP4A1036",2,0.0725547047089367,0.117875004549111,0.0436535255167471,150,-1.03818189490302,0.15,999,"WP4A1036"
"WP4A1037",1,NA,NA,NA,NA,NA,NA,999,"WP4A1037"
"WP4A1038",2,0.0515121321429594,0.11574888599617,0.0423570821197734,57,-1.51655285582629,0.057,999,"WP4A1038"
