"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"WP4A0962",2,0.262443236243573,0.287216590711332,0.0471972016418858,238.5,-0.524890324128307,0.2385,999,"WP4A0962"
"WP4A0963",7,0.483996501993054,0.493356223398171,0.0282483856124731,376,-0.331336506571344,0.376,999,"WP4A0963"
"WP4A0964",1,NA,NA,NA,NA,NA,NA,999,"WP4A0964"
"WP4A0965",5,0.429789414619597,0.461344952258641,0.0321693533447783,144,-0.980919240148966,0.144,999,"WP4A0965"
"WP4A0967",2,0.356385195399584,0.288527445378092,0.0468393222923228,955,1.44873466780741,0.955,999,"WP4A0967"
"WP4A0968",4,0.434262037663801,0.433071595648963,0.0376095947113143,528,0.0316526148174576,0.528,999,"WP4A0968"
"WP4A0969",3,0.403017636203238,0.385065933108621,0.0425291079577744,681,0.422103917919943,0.681,999,"WP4A0969"
"WP4A0970",2,0.324523672094964,0.286784025530235,0.0441136731529018,852,0.855509048949987,0.852,999,"WP4A0970"
"WP4A0971",1,NA,NA,NA,NA,NA,NA,999,"WP4A0971"
"WP4A0972",5,0.445348987161188,0.460461411070345,0.0323488280047543,308,-0.467170677928005,0.308,999,"WP4A0972"
"WP4A0973",2,0.288798352661507,0.288131817050482,0.0450267373132975,427,0.014803107015887,0.427,999,"WP4A0973"
"WP4A0974",3,0.404990316086163,0.384718175856297,0.0411344891619875,717,0.492825865663111,0.717,999,"WP4A0974"
"WP4A0976",2,0.292110177843909,0.287913897531834,0.0477725932754042,455,0.087838654432759,0.455,999,"WP4A0976"
"WP4A0978",5,0.467611218263582,0.461707617482152,0.0327584252361303,595,0.18021625700491,0.595,999,"WP4A0978"
"WP4A0980",6,0.428956833072122,0.47914023651315,0.029020983032068,45,-1.72921101210029,0.045,999,"WP4A0980"
"WP4A0981",5,0.402302488146584,0.461407100228135,0.0329268616890723,39,-1.79502719207421,0.039,999,"WP4A0981"
"WP4A0982",3,0.331091119485351,0.385628884836458,0.0414359574503417,89,-1.31619416340183,0.089,999,"WP4A0982"
"WP4A0983",2,0.294531630304794,0.290095466015142,0.0468962624547451,451,0.0945952631925151,0.451,999,"WP4A0983"
"WP4A0984",7,0.511813659855668,0.494316791244985,0.0272390666201816,739,0.64234464618987,0.739,999,"WP4A0984"
"WP4A0985",1,NA,NA,NA,NA,NA,NA,999,"WP4A0985"
"WP4A0986",5,0.447725334565767,0.461876071030245,0.0311857106747121,319,-0.453757062395638,0.319,999,"WP4A0986"
"WP4A0987",4,0.404527798195391,0.432547940705744,0.0368849496903655,189,-0.759663297512131,0.189,999,"WP4A0987"
"WP4A0988",2,0.294531630304794,0.290095466015142,0.0468962624547451,451,0.0945952631925151,0.451,999,"WP4A0988"
"WP4A0989",3,0.352991343152867,0.386345550810392,0.0396409757475401,172,-0.841407332401347,0.172,999,"WP4A0989"
"WP4A0990",3,0.365132749546878,0.386677899134619,0.0394076079094198,262,-0.546725638289513,0.262,999,"WP4A0990"
"WP4A0991",5,0.438635035640644,0.462226010427467,0.0328010619442157,218,-0.719213750668921,0.218,999,"WP4A0991"
"WP4A0993",2,0.327130018112065,0.286033480109127,0.0457200413277724,864,0.898873596992453,0.864,999,"WP4A0993"
"WP4A0994",2,0.323162944967396,0.28622304360077,0.0449618496026294,841.5,0.821583224291242,0.8415,999,"WP4A0994"
"WP4A0995",4,0.428317215877278,0.43288479919807,0.0340767179708371,456,-0.134038240557689,0.456,999,"WP4A0995"
"WP4A0996",1,NA,NA,NA,NA,NA,NA,999,"WP4A0996"
"WP4A1022",2,0.294531630304794,0.290095466015142,0.0468962624547451,451,0.0945952631925151,0.451,999,"WP4A1022"
"WP4A1023",3,0.448887437229144,0.385348720867192,0.0408348854541317,941,1.55599105165417,0.941,999,"WP4A1023"
"WP4A1024",3,0.465633477522445,0.382817675451939,0.0424871608205541,993,1.9491959564039,0.993,999,"WP4A1024"
"WP4A1025",1,NA,NA,NA,NA,NA,NA,999,"WP4A1025"
"WP4A1028",2,0.356385195399584,0.288527445378092,0.0468393222923228,955,1.44873466780741,0.955,999,"WP4A1028"
"WP4A1030",2,0.26392561594131,0.285053789484122,0.0498086237225582,240.5,-0.424187057656903,0.2405,999,"WP4A1030"
"WP4A1031",4,0.434086196474295,0.431103130364364,0.035989247448119,529,0.0828877045631863,0.529,999,"WP4A1031"
"WP4A1032",5,0.511717632741419,0.46178750390394,0.0325162537579054,951,1.53554370713261,0.951,999,"WP4A1032"
"WP4A1033",1,NA,NA,NA,NA,NA,NA,999,"WP4A1033"
"WP4A1034",1,NA,NA,NA,NA,NA,NA,999,"WP4A1034"
"WP4A1035",9,0.525416506127738,0.511341468671223,0.023756964216683,708,0.592459429081051,0.708,999,"WP4A1035"
"WP4A1036",8,0.501374165636686,0.5022191353332,0.0254345447614992,507,-0.0332213414644279,0.507,999,"WP4A1036"
"WP4A1037",4,0.469630061615381,0.433632730159308,0.0361310208278102,841,0.996299872832978,0.841,999,"WP4A1037"
"WP4A1038",1,NA,NA,NA,NA,NA,NA,999,"WP4A1038"
"WP4A1039",2,0.279735186828543,0.289875946170698,0.0447969032791073,318,-0.226371882872635,0.318,999,"WP4A1039"
"WP4A1040",1,NA,NA,NA,NA,NA,NA,999,"WP4A1040"
"WP4A1042",4,0.433632813376349,0.432482624345512,0.0363324317615943,533,0.0316573643730938,0.533,999,"WP4A1042"
"WP4A1043",3,0.439392829714607,0.385252792632144,0.0421636292295355,903,1.28404594366695,0.903,999,"WP4A1043"
"WP4A1044",4,0.429205192060194,0.433914474481367,0.0364590708643864,446,-0.129166276307203,0.446,999,"WP4A1044"
"WP4A1045",5,0.439751016126649,0.460770202756494,0.0312726085366045,235,-0.672127705792184,0.235,999,"WP4A1045"
"WP4A1046",3,0.437456828636555,0.384358153742032,0.0416531524807226,901,1.2747816607422,0.901,999,"WP4A1046"
