"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"WP4A0960",2,0.306362113764088,0.2868629090057,0.0462843453837907,626,0.421291574866198,0.626,999,"WP4A0960"
"WP4A0962",3,0.376293709640798,0.383611780613211,0.0420253453188332,388,-0.174134701735185,0.388,999,"WP4A0962"
"WP4A0963",19,0.547924405154176,0.54414347365334,0.0152776457309555,609,0.247481291778804,0.609,999,"WP4A0963"
"WP4A0964",2,0.288594885176436,0.287613554147871,0.0456572787671136,416,0.0214934191231536,0.416,999,"WP4A0964"
"WP4A0965",5,0.429789414619597,0.459806998630649,0.0321639632040124,152,-0.933267577153151,0.152,999,"WP4A0965"
"WP4A0966",3,0.397436967394516,0.385128864829122,0.0411518569155461,633,0.299089846435202,0.633,999,"WP4A0966"
"WP4A0967",3,0.427604073849311,0.384070609674469,0.0421396190094442,865,1.03307683358706,0.865,999,"WP4A0967"
"WP4A0968",5,0.452385215072529,0.460654133056022,0.0325636850524193,402,-0.253930658344778,0.402,999,"WP4A0968"
"WP4A0969",3,0.403017636203238,0.384900938519894,0.0407269814859868,699,0.444832811623361,0.699,999,"WP4A0969"
"WP4A0970",6,0.4717996214888,0.479656352036531,0.0302123994287161,388,-0.260049870129265,0.388,999,"WP4A0970"
"WP4A0971",1,NA,NA,NA,NA,NA,NA,999,"WP4A0971"
"WP4A0972",6,0.45492394307743,0.479087788487036,0.0277849509132816,177,-0.869673856362821,0.177,999,"WP4A0972"
"WP4A0973",3,0.380495791417332,0.381875152224246,0.0400115204908232,436,-0.034474091211562,0.436,999,"WP4A0973"
"WP4A0974",5,0.482412921464321,0.459240123153479,0.0314703595015601,772,0.736337260770513,0.772,999,"WP4A0974"
"WP4A0976",3,0.40743021760876,0.382771277673409,0.0422820056518452,756,0.583201755810616,0.756,999,"WP4A0976"
"WP4A0978",5,0.467611218263582,0.459918943894103,0.0320401497077413,612,0.240082347918022,0.612,999,"WP4A0978"
"WP4A0979",2,0.288524862013657,0.289294415681878,0.0458035913404708,371,-0.0168011643999784,0.371,999,"WP4A0979"
"WP4A0980",7,0.461175885268941,0.492634334914128,0.0260771846208122,93,-1.2063591259035,0.093,999,"WP4A0980"
"WP4A0981",6,0.417542843156983,0.478554744444276,0.0288764939077263,23,-2.11285696533152,0.023,999,"WP4A0981"
