"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"WP4A0960",2,0.306362113764088,0.288819400056297,0.0449432229044582,637,0.390330567638289,0.637,999,"WP4A0960"
"WP4A0962",1,NA,NA,NA,NA,NA,NA,999,"WP4A0962"
"WP4A0963",12,0.516348066650684,0.526516946433318,0.0202895166016742,316,-0.501188864292347,0.316,999,"WP4A0963"
"WP4A0964",1,NA,NA,NA,NA,NA,NA,999,"WP4A0964"
"WP4A0966",3,0.397436967394516,0.38171822694727,0.0414242037163888,651,0.379457878173442,0.651,999,"WP4A0966"
"WP4A0967",1,NA,NA,NA,NA,NA,NA,999,"WP4A0967"
"WP4A0968",1,NA,NA,NA,NA,NA,NA,999,"WP4A0968"
"WP4A0970",4,0.427432235279903,0.431101013377391,0.0362221480957238,445,-0.101285492174343,0.445,999,"WP4A0970"
"WP4A0972",1,NA,NA,NA,NA,NA,NA,999,"WP4A0972"
"WP4A0973",1,NA,NA,NA,NA,NA,NA,999,"WP4A0973"
"WP4A0974",2,0.282309838209723,0.287876273311153,0.0477854292118213,352,-0.116488126051038,0.352,999,"WP4A0974"
"WP4A0976",1,NA,NA,NA,NA,NA,NA,999,"WP4A0976"
"WP4A0979",2,0.288524862013657,0.285427313600179,0.0493060404751651,409,0.0628228992558892,0.409,999,"WP4A0979"
"WP4A0980",1,NA,NA,NA,NA,NA,NA,999,"WP4A0980"
"WP4A0981",1,NA,NA,NA,NA,NA,NA,999,"WP4A0981"
"WP4A0983",1,NA,NA,NA,NA,NA,NA,999,"WP4A0983"
"WP4A0985",1,NA,NA,NA,NA,NA,NA,999,"WP4A0985"
"WP4A0986",3,0.336798099218528,0.386817529005059,0.039941834832415,93,-1.25230676047806,0.093,999,"WP4A0986"
"WP4A0989",1,NA,NA,NA,NA,NA,NA,999,"WP4A0989"
"WP4A0990",1,NA,NA,NA,NA,NA,NA,999,"WP4A0990"
"WP4A0996",7,0.487039840058792,0.493026156093438,0.0272108509367344,416,-0.21999738444653,0.416,999,"WP4A0996"
"WP4A1021",1,NA,NA,NA,NA,NA,NA,999,"WP4A1021"
"WP4A1022",6,0.343479334865894,0.479362692794607,0.0309850725810619,1,-4.38544584890743,0.001,999,"WP4A1022"
"WP4A1023",1,NA,NA,NA,NA,NA,NA,999,"WP4A1023"
"WP4A1024",6,0.475540423561084,0.479236238844528,0.0299846269976627,468,-0.123257003788368,0.468,999,"WP4A1024"
"WP4A1025",1,NA,NA,NA,NA,NA,NA,999,"WP4A1025"
"WP4A1026",3,0.329495753863313,0.383509582745025,0.0403275040766707,86,-1.33937941656445,0.086,999,"WP4A1026"
"WP4A1028",2,0.32316609893366,0.288438653078816,0.0462549190924491,830.5,0.750783841723619,0.8305,999,"WP4A1028"
"WP4A1030",6,0.494543635698251,0.479432903062802,0.0296142260799849,696,0.510252491307243,0.696,999,"WP4A1030"
