"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"WP4A0960",2,0.049425079013047,0.113191206368573,0.0421596385933145,67.5,-1.51249226708595,0.0675,999,"WP4A0960"
"WP4A0962",3,0.182195033924536,0.15177669423605,0.0400578319841524,766,0.759360608944607,0.766,999,"WP4A0962"
"WP4A0963",16,0.242936356190524,0.213510556941312,0.0186687226379361,946,1.57620849695509,0.946,999,"WP4A0963"
"WP4A0964",2,0.0894927714610747,0.112816584495973,0.0422693220330467,294,-0.551790563772553,0.294,999,"WP4A0964"
"WP4A0965",5,0.135090818290847,0.182120864473727,0.0335318382193312,84,-1.40254900060229,0.084,999,"WP4A0965"
"WP4A0966",3,0.139553184656038,0.149561527202706,0.040496850184014,422,-0.247138789836521,0.422,999,"WP4A0966"
"WP4A0967",3,0.146449794577653,0.152444884382224,0.0399223832700619,459,-0.150168635074135,0.459,999,"WP4A0967"
"WP4A0968",5,0.1749517222705,0.181860555746801,0.0326898807874458,423,-0.211344713100149,0.423,999,"WP4A0968"
"WP4A0969",3,0.179381898538617,0.149996595665177,0.0394942094530073,762,0.744040791812892,0.762,999,"WP4A0969"
"WP4A0970",6,0.183258379293262,0.188255156077669,0.030601844382381,424,-0.163283517227606,0.424,999,"WP4A0970"
"WP4A0971",1,NA,NA,NA,NA,NA,NA,999,"WP4A0971"
"WP4A0972",6,0.168540998573393,0.189957877672208,0.0305456178807136,247,-0.701144078422397,0.247,999,"WP4A0972"
"WP4A0973",3,0.11380290694792,0.1508990269957,0.0399248057112386,193,-0.92914966990906,0.193,999,"WP4A0973"
"WP4A0974",5,0.191365404347029,0.181672651619116,0.0325702009637086,596,0.297595729873225,0.596,999,"WP4A0974"
"WP4A0976",3,0.177671535113858,0.1520476857058,0.0391559764848181,748,0.654404556045036,0.748,999,"WP4A0976"
"WP4A0978",5,0.125780164830868,0.1824670237902,0.0323632696666247,40,-1.75158009506656,0.04,999,"WP4A0978"
"WP4A0979",2,0.0767668982729289,0.111119320874358,0.0425344179906159,209,-0.807638242728692,0.209,999,"WP4A0979"
"WP4A0980",7,0.184775267152617,0.194568744474445,0.0284673202697093,365,-0.344025262267077,0.365,999,"WP4A0980"
"WP4A0981",6,0.19784885423134,0.189810352406588,0.0306941143078694,603,0.261890659040474,0.603,999,"WP4A0981"
"WP4A0982",3,0.1411290960423,0.15094758312887,0.0396104479958125,409,-0.247876193867038,0.409,999,"WP4A0982"
"WP4A0983",3,0.169414591673147,0.151666112444244,0.0404556032040355,675,0.438714981936844,0.675,999,"WP4A0983"
"WP4A0984",7,0.193094279253278,0.195253347640234,0.0286904012667016,472,-0.0752540324161168,0.472,999,"WP4A0984"
"WP4A0985",2,0.0811467895432698,0.113086144430771,0.0412320326177922,241,-0.774624796782851,0.241,999,"WP4A0985"
"WP4A0986",8,0.17074880435874,0.198534971032213,0.0277597534396792,158,-1.00095149381825,0.158,999,"WP4A0986"
"WP4A0987",4,0.168322353521606,0.17159298282181,0.0356288237743667,479,-0.0917972852799354,0.479,999,"WP4A0987"
"WP4A0988",2,0.143133230705667,0.113595189783297,0.0429896998919364,767,0.687095769373134,0.767,999,"WP4A0988"
"WP4A0989",4,0.160511445534925,0.169848516204485,0.0361966832799355,401,-0.257953763259179,0.401,999,"WP4A0989"
"WP4A0990",3,0.158767103206887,0.150875331578582,0.0400318248393202,600,0.197137444020619,0.6,999,"WP4A0990"
"WP4A0991",4,0.141991204129098,0.170952781430872,0.0357595426542239,217,-0.809897866474878,0.217,999,"WP4A0991"
"WP4A0993",2,0.0883858791648936,0.113463466003097,0.041047738883884,286,-0.610937106892605,0.286,999,"WP4A0993"
"WP4A0994",2,0.103849567237775,0.113607890837628,0.041510914282253,429,-0.235078503294384,0.429,999,"WP4A0994"
"WP4A0995",4,0.176663577044305,0.171252045760037,0.0361494719598595,565,0.149698764349229,0.565,999,"WP4A0995"
"WP4A0996",8,0.205987738798585,0.199966374810305,0.0270319035431369,575,0.222750276489823,0.575,999,"WP4A0996"
"WP4A1021",1,NA,NA,NA,NA,NA,NA,999,"WP4A1021"
"WP4A1022",8,0.191912760183434,0.199990024358649,0.0271056988589306,391,-0.297991364002532,0.391,999,"WP4A1022"
"WP4A1023",4,0.142347940472464,0.169052059514119,0.0367852854249726,251,-0.725945679995351,0.251,999,"WP4A1023"
"WP4A1024",9,0.226712108022586,0.201882465764349,0.0264798214583191,825,0.937681634195334,0.825,999,"WP4A1024"
"WP4A1025",2,0.0641650507436676,0.114265648784299,0.0426265053841882,126,-1.17533908982404,0.126,999,"WP4A1025"
"WP4A1026",3,0.131854300053828,0.154029857519305,0.0402139921565032,310,-0.55143884693604,0.31,999,"WP4A1026"
"WP4A1028",4,0.164394919436547,0.172157944784282,0.0347315911847358,410,-0.223514819878073,0.41,999,"WP4A1028"
"WP4A1030",8,0.248010296018104,0.200366316619039,0.0266567953761013,967,1.78731084238954,0.967,999,"WP4A1030"
"WP4A1031",6,0.193626617364103,0.190639228761591,0.0313267780286829,564,0.0953621403317405,0.564,999,"WP4A1031"
"WP4A1032",5,0.222126912809023,0.182016883656407,0.03271307192772,896,1.22611625228103,0.896,999,"WP4A1032"
"WP4A1033",1,NA,NA,NA,NA,NA,NA,999,"WP4A1033"
"WP4A1034",2,0.0849144639284337,0.113220287760689,0.0421216753726133,255,-0.672001376532586,0.255,999,"WP4A1034"
"WP4A1035",13,0.185673109698363,0.210065986036383,0.0207875927150054,125,-1.17343439774113,0.125,999,"WP4A1035"
"WP4A1036",10,0.207144861713719,0.205034971840347,0.024175749475817,516,0.0872729871511229,0.516,999,"WP4A1036"
"WP4A1037",5,0.155715186488364,0.18198469264521,0.0323636847777167,208,-0.811697009696901,0.208,999,"WP4A1037"
"WP4A1038",3,0.0792870821411485,0.152467073937874,0.0397994727847126,28,-1.83871761800912,0.028,999,"WP4A1038"
"WP4A1039",2,0.0641650507436676,0.114265648784299,0.0426265053841882,126,-1.17533908982404,0.126,999,"WP4A1039"
"WP4A1040",1,NA,NA,NA,NA,NA,NA,999,"WP4A1040"
"WP4A1041",1,NA,NA,NA,NA,NA,NA,999,"WP4A1041"
