"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"WP4A0962",2,0.15722359723312,0.119269599251766,0.0406505516894198,828,0.933665015700928,0.828,999,"WP4A0962"
"WP4A0963",7,0.20056629439079,0.201514704491778,0.0285239405150766,482,-0.0332496171237902,0.482,999,"WP4A0963"
"WP4A0964",1,NA,NA,NA,NA,NA,NA,999,"WP4A0964"
"WP4A0965",5,0.136024358518099,0.189203134337605,0.0318950944651796,42,-1.66730265927137,0.042,999,"WP4A0965"
"WP4A0967",2,0.130083579636861,0.118534071758651,0.0425265204106624,622,0.271583655720734,0.622,999,"WP4A0967"
"WP4A0968",4,0.176195384848715,0.176853919954783,0.0347914342473275,503,-0.0189280815900207,0.503,999,"WP4A0968"
"WP4A0969",3,0.180686140989626,0.157029354982045,0.0383188570182905,737,0.617366692234293,0.737,999,"WP4A0969"
"WP4A0970",2,0.0883696719572931,0.117921189939784,0.0415626169448238,228,-0.711011965914509,0.228,999,"WP4A0970"
"WP4A0971",1,NA,NA,NA,NA,NA,NA,999,"WP4A0971"
"WP4A0972",5,0.184267834608902,0.187750813361343,0.0323425660226496,462,-0.107690241708152,0.462,999,"WP4A0972"
"WP4A0973",2,0.0819871942170511,0.116690055937031,0.0418492081806847,201,-0.829235802267731,0.201,999,"WP4A0973"
"WP4A0974",3,0.195353454558045,0.154963657213091,0.039164040956903,862,1.0312980059795,0.862,999,"WP4A0974"
"WP4A0976",2,0.079151213824791,0.117758619097538,0.0417745540378983,174,-0.924184737860335,0.174,999,"WP4A0976"
"WP4A0978",5,0.12695453053892,0.189257396241386,0.0326281595728089,25,-1.90948145767886,0.025,999,"WP4A0978"
"WP4A0980",6,0.162580921689285,0.1962107551911,0.0300300580971696,138,-1.11987240893766,0.138,999,"WP4A0980"
"WP4A0981",5,0.189050916590539,0.187596836234472,0.0313178933261141,519,0.0464296988601855,0.519,999,"WP4A0981"
"WP4A0982",3,0.141944678478236,0.157972409452471,0.0385634828531619,347,-0.415619383634608,0.347,999,"WP4A0982"
"WP4A0983",2,0.143754709225035,0.117875408890974,0.0408584965897552,751,0.633388462475872,0.751,999,"WP4A0983"
"WP4A0984",7,0.194547506142114,0.201719854855864,0.0266815567531575,409,-0.268812977447469,0.409,999,"WP4A0984"
"WP4A0985",1,NA,NA,NA,NA,NA,NA,999,"WP4A0985"
"WP4A0986",5,0.113206178216715,0.187879408431574,0.0326209722355396,6,-2.28911724873438,0.006,999,"WP4A0986"
"WP4A0987",4,0.169152384707184,0.175977635651107,0.0336895027011974,412,-0.202592807749602,0.412,999,"WP4A0987"
"WP4A0988",2,0.143754709225035,0.117875408890974,0.0408584965897552,751,0.633388462475872,0.751,999,"WP4A0988"
"WP4A0989",3,0.170240714558603,0.157009169355753,0.03749551559898,641,0.352883404628,0.641,999,"WP4A0989"
"WP4A0990",2,0.143754709225035,0.117875408890974,0.0408584965897552,751,0.633388462475872,0.751,999,"WP4A0990"
"WP4A0991",4,0.142898158973339,0.174124977368239,0.034594018670932,184,-0.902665246612095,0.184,999,"WP4A0991"
"WP4A0993",2,0.0889676240703368,0.116324069331324,0.0435785277645531,249,-0.627750561211925,0.249,999,"WP4A0993"
"WP4A0994",2,0.104568423878382,0.118876232448865,0.0429975281261042,381,-0.332758862986739,0.381,999,"WP4A0994"
"WP4A0995",4,0.177871717163171,0.175569594145821,0.0354584789173154,533,0.064924471879311,0.533,999,"WP4A0995"
"WP4A0996",1,NA,NA,NA,NA,NA,NA,999,"WP4A0996"
"WP4A1022",2,0.143754709225035,0.117875408890974,0.0408584965897552,751,0.633388462475872,0.751,999,"WP4A1022"
"WP4A1023",3,0.139612535716221,0.155963970704797,0.0391746434130505,351,-0.41739843847893,0.351,999,"WP4A1023"
"WP4A1024",3,0.184998529085988,0.156044206471593,0.0391715884874556,773,0.739166414547317,0.773,999,"WP4A1024"
"WP4A1025",1,NA,NA,NA,NA,NA,NA,999,"WP4A1025"
"WP4A1028",2,0.130083579636861,0.118534071758651,0.0425265204106624,622,0.271583655720734,0.622,999,"WP4A1028"
"WP4A1030",2,0.216697604408086,0.115863757129257,0.0438312978717218,983.5,2.30049877997983,0.9835,999,"WP4A1030"
"WP4A1031",4,0.199105036554188,0.177307939055466,0.0353168652727558,732,0.617186642426507,0.732,999,"WP4A1031"
"WP4A1032",5,0.224042848814504,0.187975249297719,0.0322911974422772,865,1.1169483442433,0.865,999,"WP4A1032"
"WP4A1033",1,NA,NA,NA,NA,NA,NA,999,"WP4A1033"
"WP4A1034",1,NA,NA,NA,NA,NA,NA,999,"WP4A1034"
"WP4A1035",9,0.187577236211708,0.208283443019111,0.0238227226770779,188,-0.869178854494494,0.188,999,"WP4A1035"
"WP4A1036",8,0.221471421665908,0.205170075190091,0.0262006589283797,745,0.622173149170691,0.745,999,"WP4A1036"
"WP4A1037",4,0.142805475361939,0.17773999525373,0.0353563127019421,163,-0.988070226278794,0.163,999,"WP4A1037"
"WP4A1038",1,NA,NA,NA,NA,NA,NA,999,"WP4A1038"
"WP4A1039",2,0.0646014910836773,0.117387744651114,0.0414359122985216,100,-1.27392521702293,0.1,999,"WP4A1039"
"WP4A1040",1,NA,NA,NA,NA,NA,NA,999,"WP4A1040"
"WP4A1042",4,0.124752193687994,0.177572900052375,0.0342493899129109,50,-1.54223787631525,0.05,999,"WP4A1042"
"WP4A1043",3,0.174228083553449,0.156318352993819,0.038672025410344,691,0.463118504127782,0.691,999,"WP4A1043"
"WP4A1044",4,0.184781893554583,0.177275430370534,0.0344180574503529,609,0.218096654492394,0.609,999,"WP4A1044"
"WP4A1045",5,0.133980003351074,0.187325857736585,0.0321536784908531,53,-1.65909024688065,0.053,999,"WP4A1045"
"WP4A1046",3,0.15272889004624,0.156401899453006,0.0385161125583871,476,-0.0953629315834573,0.476,999,"WP4A1046"
"WP4A1047",1,NA,NA,NA,NA,NA,NA,999,"WP4A1047"
"WP4A1337",3,0.111871242695176,0.155314511721381,0.0394380389470957,124,-1.10155753648102,0.124,999,"WP4A1337"
"WP4A1340",2,0.079151213824791,0.117758619097538,0.0417745540378983,174,-0.924184737860335,0.174,999,"WP4A1340"
"WP4A1342",1,NA,NA,NA,NA,NA,NA,999,"WP4A1342"
"WP4A1343",5,0.175978708513082,0.188023087623453,0.0321086750380877,348,-0.375112928082007,0.348,999,"WP4A1343"
"WP4A1344",5,0.214683515391476,0.186985848217058,0.0319092540760492,804,0.868013621014319,0.804,999,"WP4A1344"
"WP4A1345",1,NA,NA,NA,NA,NA,NA,999,"WP4A1345"
"WP4B0852",2,0.190424396689633,0.117082847626571,0.0413599362630546,959,1.77325101752092,0.959,999,"WP4B0852"
"WP4B0853",2,0.126806391430036,0.116812321299373,0.0403956477261999,633.5,0.247404626320187,0.6335,999,"WP4B0853"
"WP4B0855",4,0.207978646927547,0.176114263849154,0.0347084872472334,816,0.918057386120537,0.816,999,"WP4B0855"
"WP4B0856",1,NA,NA,NA,NA,NA,NA,999,"WP4B0856"
"WP4B0857",1,NA,NA,NA,NA,NA,NA,999,"WP4B0857"
"WP4B0934",2,0.126806391430036,0.116812321299373,0.0403956477261999,633.5,0.247404626320187,0.6335,999,"WP4B0934"
"WP4B0936",3,0.184597808224898,0.156910711662122,0.0395829732379976,750,0.699469855291157,0.75,999,"WP4B0936"
"WP4B0938",5,0.13794730934041,0.188981625119299,0.0322999687346663,61,-1.58001130583497,0.061,999,"WP4B0938"
"WP4B0939",3,0.152291759050343,0.155863404801253,0.0380981758530652,464,-0.0937484714408625,0.464,999,"WP4B0939"
"WP4B0940",1,NA,NA,NA,NA,NA,NA,999,"WP4B0940"
