"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"WP4A0960",2,0.0531990203823687,0.118900751438624,0.0450988261308695,75,-1.45683905087904,0.075,999,"WP4A0960"
"WP4A0962",1,NA,NA,NA,NA,NA,NA,999,"WP4A0962"
"WP4A0963",9,0.236330598666135,0.211399404363918,0.0254224109656842,846,0.980677809664444,0.846,999,"WP4A0963"
"WP4A0964",1,NA,NA,NA,NA,NA,NA,999,"WP4A0964"
"WP4A0966",3,0.152647899620028,0.15990005678229,0.0405294474638897,430,-0.178935505319267,0.43,999,"WP4A0966"
"WP4A0967",1,NA,NA,NA,NA,NA,NA,999,"WP4A0967"
"WP4A0968",1,NA,NA,NA,NA,NA,NA,999,"WP4A0968"
"WP4A0970",4,0.181879177958788,0.180698961132377,0.0368306228503391,510,0.0320444438641944,0.51,999,"WP4A0970"
"WP4A0972",1,NA,NA,NA,NA,NA,NA,999,"WP4A0972"
"WP4A0973",1,NA,NA,NA,NA,NA,NA,999,"WP4A0973"
"WP4A0974",2,0.11392784834396,0.120085366651868,0.0447732449702048,457,-0.13752673749704,0.457,999,"WP4A0974"
"WP4A0976",1,NA,NA,NA,NA,NA,NA,999,"WP4A0976"
"WP4A0979",2,0.0898053201580029,0.119582448864624,0.0427000181315407,233,-0.697356348067359,0.233,999,"WP4A0979"
"WP4A0980",1,NA,NA,NA,NA,NA,NA,999,"WP4A0980"
"WP4A0981",1,NA,NA,NA,NA,NA,NA,999,"WP4A0981"
"WP4A0983",1,NA,NA,NA,NA,NA,NA,999,"WP4A0983"
"WP4A0985",1,NA,NA,NA,NA,NA,NA,999,"WP4A0985"
"WP4A0986",3,0.186407596811514,0.161449590240863,0.0403835686287267,736,0.618023800722195,0.736,999,"WP4A0986"
"WP4A0989",1,NA,NA,NA,NA,NA,NA,999,"WP4A0989"
