"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"WP4A0962",2,0.262443236243573,0.287325483638157,0.043095774333778,225,-0.577370932051716,0.225,999,"WP4A0962"
"WP4A0963",7,0.483996501993054,0.491472475108491,0.0267636179934883,398,-0.279333426342283,0.398,999,"WP4A0963"
"WP4A0964",1,NA,NA,NA,NA,NA,NA,999,"WP4A0964"
"WP4A0965",5,0.429789414619597,0.458213818272778,0.0336333424595565,176,-0.845125746492813,0.176,999,"WP4A0965"
"WP4A0967",2,0.356385195399584,0.287976390006257,0.0480692838282467,958,1.42312928226171,0.958,999,"WP4A0967"
"WP4A0968",4,0.434262037663801,0.427355301132515,0.0375212337447916,575,0.184075411226164,0.575,999,"WP4A0968"
"WP4A0969",3,0.403017636203238,0.379549078109385,0.0429088065358155,738,0.546940359999624,0.738,999,"WP4A0969"
"WP4A0970",2,0.324523672094964,0.288026534106667,0.0438374188071763,847,0.832556728507076,0.847,999,"WP4A0970"
"WP4A0971",1,NA,NA,NA,NA,NA,NA,999,"WP4A0971"
"WP4A0972",5,0.445348987161188,0.457753951209583,0.0335418969335569,325,-0.369834898514192,0.325,999,"WP4A0972"
"WP4A0973",2,0.288798352661507,0.285921434669447,0.0475455723861425,418,0.0605086414502539,0.418,999,"WP4A0973"
"WP4A0974",3,0.404990316086163,0.383783622763798,0.040028544981763,730,0.529789262438267,0.73,999,"WP4A0974"
"WP4A0976",2,0.292110177843909,0.28618624760216,0.0468168377034061,447,0.126534181554046,0.447,999,"WP4A0976"
"WP4A0978",5,0.467611218263582,0.45765780340908,0.0313571084895293,647,0.317421322754496,0.647,999,"WP4A0978"
"WP4A0980",6,0.428956833072122,0.476887072596946,0.0295143905865563,48,-1.62396168690183,0.048,999,"WP4A0980"
"WP4A0981",5,0.402302488146584,0.457115417158074,0.0327179474727833,47,-1.67531685956422,0.047,999,"WP4A0981"
"WP4A0982",3,0.331091119485351,0.379978747846201,0.0401920021182418,91,-1.21635215426757,0.091,999,"WP4A0982"
"WP4A0983",2,0.294531630304794,0.28355681450167,0.0475533012933228,508,0.230789777042569,0.508,999,"WP4A0983"
