"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","TreeN"
"WP4A0960",2,0.306362113764088,0.285305002495443,0.045293303964737,677,0.464905613532601,0.677,999,"WP4A0960"
"WP4A0962",3,0.376293709640798,0.381567780713717,0.040270119156114,408,-0.130967357024036,0.408,999,"WP4A0962"
"WP4A0963",16,0.549741062090047,0.538388479196811,0.0175249792125097,753,0.647794371426827,0.753,999,"WP4A0963"
"WP4A0964",2,0.288594885176436,0.285378324468961,0.0490111390079722,415,0.0656291768071577,0.415,999,"WP4A0964"
"WP4A0965",5,0.429789414619597,0.4565946937411,0.0330838852406709,181,-0.810221620783237,0.181,999,"WP4A0965"
"WP4A0966",3,0.397436967394516,0.382973542262056,0.0399378333289635,636,0.362148467427509,0.636,999,"WP4A0966"
"WP4A0967",3,0.427604073849311,0.38051945093028,0.0421123542443798,880,1.11807149621218,0.88,999,"WP4A0967"
"WP4A0968",5,0.452385215072529,0.460780251013058,0.0324225234052744,394,-0.258926050745415,0.394,999,"WP4A0968"
"WP4A0969",3,0.403017636203238,0.384421347801793,0.0400160874215841,708,0.464720306248997,0.708,999,"WP4A0969"
"WP4A0970",6,0.4717996214888,0.479846926821866,0.0308253734958445,404,-0.261061081195025,0.404,999,"WP4A0970"
"WP4A0971",1,NA,NA,NA,NA,NA,NA,999,"WP4A0971"
"WP4A0972",6,0.45492394307743,0.480423655714366,0.0290917444613269,173,-0.876527451656716,0.173,999,"WP4A0972"
"WP4A0973",3,0.380495791417332,0.381549780919159,0.0415537977767754,444,-0.0253644566373779,0.444,999,"WP4A0973"
"WP4A0974",5,0.482412921464321,0.458955738608066,0.0326394259057828,772,0.718676331010431,0.772,999,"WP4A0974"
"WP4A0976",3,0.40743021760876,0.382708692687884,0.0407285614706592,772,0.606982521066573,0.772,999,"WP4A0976"
"WP4A0978",5,0.467611218263582,0.460188761001817,0.0338373865613783,608,0.219356694356451,0.608,999,"WP4A0978"
"WP4A0979",2,0.288524862013657,0.286353492871271,0.0466615858011851,434,0.0465344052308439,0.434,999,"WP4A0979"
"WP4A0980",7,0.461175885268941,0.492679932623616,0.0274784386685589,113,-1.14650063399425,0.113,999,"WP4A0980"
"WP4A0981",6,0.417542843156983,0.478945582002128,0.0294160570954569,21,-2.08738848465955,0.021,999,"WP4A0981"
"WP4A0982",3,0.331091119485351,0.38284167653705,0.0402626429924972,99,-1.28532439018825,0.099,999,"WP4A0982"
"WP4A0983",3,0.352991343152867,0.383064990430717,0.0405200146523838,180,-0.742192408760157,0.18,999,"WP4A0983"
"WP4A0984",7,0.511813659855668,0.491165608341771,0.0283009901309297,772,0.729587601648317,0.772,999,"WP4A0984"
"WP4A0985",2,0.288798352661507,0.287826219367054,0.0466455568126739,405,0.0208408551827726,0.405,999,"WP4A0985"
