TreeN,AntSpRichness-ALL,AntSpRichness-Nests,DBH,BA,Forest,TreeSpecies,TreeFamily,TreeGenus,X_coordinate,Y_coordinate,TreeHeight,Site,Elevation
WP4A0960,2,2,8.9,62.21,Primary,Macaranga_punctata,Euphorbiaceae,Macaranga,74.716,17.972,12.87,Wanang,100
WP4A0962,3,1,5.3,22.06,Primary,Mallotus_peltatus,Euphorbiaceae,Mallotus,78.07,19.1,6.78,Wanang,100
WP4A0963,19,12,83.7,5502.26,Primary,Mastixiodendron_pachyclados,Rubiaceae,Mastixiodendron,79.971,18.35,44.13,Wanang,100
WP4A0964,2,1,6.7,35.26,Primary,Phyllanthus_clamboides,Phyllanthaceae,Phyllanthus,77.3,17.048,8.55,Wanang,100
WP4A0965,5,0,5.3,22.06,Primary,Antidesma_excavatum,Phyllanthaceae,Antidesma,76.192,15.272,7.45,Wanang,100
WP4A0966,3,3,12.9,130.7,Primary,Celtis_latifolia,Cannabaceae,Celtis,80,14.9,18.53,Wanang,100
WP4A0967,3,1,6.3,31.17,Primary,Aglaia_argentea,Meliaceae,Aglaia,77.794,13.926,9.85,Wanang,100
WP4A0968,5,1,6.9,37.39,Primary,Celtis_latifolia,Cannabaceae,Celtis,76.207,11.015,10.62,Wanang,100
WP4A0969,3,0,8.1,51.53,Primary,Versteegia_cauliflora,Rubiaceae,Versteegia,78.436,9.877,7.99,Wanang,100
WP4A0970,6,4,16,201.06,Primary,Ficus_hombroniana,Moraceae,Ficus,79.438,6.425,13.11,Wanang,100
WP4A0971,1,0,6.3,31.17,Primary,Mallotus_peltatus,Euphorbiaceae,Mallotus,77.698,5.171,8.95,Wanang,100
WP4A0972,6,1,15.6,191.13,Primary,Terminalia_complanata,Combretaceae,Terminalia,74.916,6.059,17.95,Wanang,100
WP4A0973,3,1,6.8,36.32,Primary,Phyllanthus_clamboides,Phyllanthaceae,Phyllanthus,75.801,3.051,8.83,Wanang,100
WP4A0974,5,2,11.1,96.77,Primary,Ficus_pungens,Moraceae,Ficus,76.222,1.375,13.82,Wanang,100
