,ANOC001,ANON001,ANON002,ANOP001,APHA001,BOTH001,CAMP001,CAMP003,CAMP004,CAMP005,CAMP006,CAMP007,CAMP008,CAMP010,CAMP011,CAMP012,CAMP013,CAMP014,CAMP016,CAMP017,CAMP018,CAMP019,CAMP020,CAMP021,CAMP022,CARD001,CARE002,CARE006,CERA001,CERA002,CREM002,CREM003,CREM004,CREM005,CREM006,CREM007,CREM010,CREM011,CREM013,CREM014,CREM015,CREM016,CREM018,DIAC001,DILO001,ECHI001,ECHI002,HYPO002,HYPO003,LEPM001,MONO001,MONO002,MONO003,MONO004,MONO005,ODON002,OECO001,PACH006,PARA001,PARA002,PARA003,PARA005,PARA006,PARA007,PARA010,PHEI001,PHEI002,PHEI004,PHEI007,PHEI013,PHEI014,PHEI018,PHEI024,PHEI025,PHEI026,PHEI030,PHIL001,PHIL002,PHIL003,PODO002,PODO003,POLY001,POLY002,POLY003,POLY004,POLY007,POLY008,POLY009,POLY010,POLY011,POLY014,POLY015,POLY016,POLY017,POLY019,POLY020,POLY021,POLY022,POLY023,POLY029,PSEU001,RHYT002,ROGE001,SOLE004,STRU002,STRU003,STRU005,TAPI001,TAPI002,TAPI003,TECH001,TECH002,TECH003,TECH004,TECH005,TETP001,TETP002,TETP003,TETP004,TETR002,TETR003,TETR006,TETR012,TETR016,TURN001,TURN002,VOLL001
ANOC001,0,0.424043189,0.443980559,0.50758219,0.48182488,0.437683659,0.50701007,0.538891371,0.556681178,0.56024721,0.556095812,0.52546831,0.56779566,0.537379435,0.550818501,0.56854459,0.553189565,0.58249112,0.54490506,0.566553585,0.54739403,0.56943395,0.514154639,0.55083989,0.50033936,0.46013759,0.49231927,0.48030962,0.47559066,0.46950878,0.526989355,0.535316395,0.516779185,0.509485175,0.498177595,0.464181325,0.509811705,0.481334015,0.536618095,0.527620925,0.544470655,0.546737625,0.522109805,0.38839564,0.489681255,0.54339603,0.54241667,0.36572601,0.30922513,0.471495359,0.517445538,0.526741538,0.493980668,0.498551938,0.516751218,0.20509502,0.53156991,0.22053189,0.555684036,0.539049856,0.517408156,0.54170757,0.505630226,0.5273503,0.548753246,0.497867005,0.447463757,0.45082793,0.514245596,0.470853545,0.51279835,0.45166392,0.492559485,0.456485831,0.495644155,0.45555412,0.439179587,0.440221107,0.437213739,0.47448381,0.46221854,0.540998496,0.521239432,0.50673454,0.52470663,0.519926623,0.52757145,0.547604835,0.527151002,0.531204055,0.55435581,0.537871233,0.53824061,0.55490611,0.54921041,0.531814612,0.5536712,0.522139948,0.541011443,0.5363228,0.48794754,0.44499423,0.477726848,0.492051198,0.47932081,0.47911214,0.460385017,0.420489319,0.450499349,0.455344859,0.462152759,0.455080409,0.448102149,0.457988089,0.443932239,0.579871409,0.621641079,0.550239439,0.609327859,0.51494227,0.510333791,0.515156661,0.48543658,0.48275526,0.470465339,0.458654489,0.48944801
ANON001,0.424043189,0,0.08368939,0.313579219,0.287821909,0.18751013,0.313007099,0.3448884,0.362678207,0.366244239,0.362092841,0.331465339,0.373792689,0.343376464,0.35681553,0.374541619,0.359186594,0.388488149,0.350902089,0.372550614,0.353391059,0.375430979,0.320151668,0.356836919,0.306336389,0.266134619,0.298316299,0.286306649,0.281587689,0.275505809,0.332986384,0.341313424,0.322776214,0.315482204,0.304174624,0.270178354,0.315808734,0.287331044,0.342615124,0.333617954,0.350467684,0.352734654,0.328106834,0.425074749,0.295678284,0.349393059,0.348413699,0.373320539,0.316819659,0.22132183,0.323442567,0.332738567,0.299977697,0.304548967,0.322748247,0.404830809,0.337566939,0.331661719,0.361681065,0.345046885,0.323405185,0.347704599,0.311627255,0.333347329,0.354750275,0.303864034,0.253460786,0.256824959,0.320242625,0.276850574,0.318795379,0.257660949,0.298556514,0.26248286,0.301641184,0.261551149,0.132545658,0.133587178,0.13057981,0.280480839,0.268215569,0.346995525,0.327236461,0.312731569,0.330703659,0.325923652,0.333568479,0.353601864,0.333148031,0.337201084,0.360352839,0.343868262,0.344237639,0.360903139,0.355207439,0.337811641,0.359668229,0.328136977,0.347008472,0.342319829,0.293944569,0.250991259,0.283723877,0.298048227,0.285317839,0.285109169,0.266382046,0.17031579,0.20032582,0.20517133,0.21197923,0.20490688,0.19792862,0.20781456,0.19375871,0.37944088,0.42121055,0.34980891,0.40889733,0.320939299,0.31633082,0.32115369,0.291433609,0.288752289,0.16383141,0.15202056,0.295445039
ANON002,0.443980559,0.08368939,0,0.333516589,0.307759279,0.2074475,0.332944469,0.36482577,0.382615577,0.386181609,0.382030211,0.351402709,0.393730059,0.363313834,0.3767529,0.394478989,0.379123964,0.408425519,0.370839459,0.392487984,0.373328429,0.395368349,0.340089038,0.376774289,0.326273759,0.286071989,0.318253669,0.306244019,0.301525059,0.295443179,0.352923754,0.361250794,0.342713584,0.335419574,0.324111994,0.290115724,0.335746104,0.307268414,0.362552494,0.353555324,0.370405054,0.372672024,0.348044204,0.445012119,0.315615654,0.369330429,0.368351069,0.393257909,0.336757029,0.2412592,0.343379937,0.352675937,0.319915067,0.324486337,0.342685617,0.424768179,0.357504309,0.351599089,0.381618435,0.364984255,0.343342555,0.367641969,0.331564625,0.353284699,0.374687645,0.323801404,0.273398156,0.276762329,0.340179995,0.296787944,0.338732749,0.277598319,0.318493884,0.28242023,0.321578554,0.281488519,0.152483028,0.153524548,0.15051718,0.300418209,0.288152939,0.366932895,0.347173831,0.332668939,0.350641029,0.345861022,0.353505849,0.373539234,0.353085401,0.357138454,0.380290209,0.363805632,0.364175009,0.380840509,0.375144809,0.357749011,0.379605599,0.348074347,0.366945842,0.362257199,0.313881939,0.270928629,0.303661247,0.317985597,0.305255209,0.305046539,0.286319416,0.19025316,0.22026319,0.2251087,0.2319166,0.22484425,0.21786599,0.22775193,0.21369608,0.39937825,0.44114792,0.36974628,0.4288347,0.340876669,0.33626819,0.34109106,0.311370979,0.308689659,0.18376878,0.17195793,0.315382409
ANOP001,0.50758219,0.313579219,0.333516589,0,0.34063193,0.327219689,0.24899184,0.280873141,0.298662948,0.30222898,0.298077582,0.26745008,0.30977743,0.279361205,0.292800271,0.31052636,0.295171335,0.32447289,0.28688683,0.308535355,0.2893758,0.31141572,0.256136409,0.29282166,0.24232113,0.31894464,0.35112632,0.33911667,0.34104163,0.33495975,0.385796405,0.394123445,0.375586235,0.368292225,0.356984645,0.322988375,0.368618755,0.340141065,0.395425145,0.386427975,0.403277705,0.405544675,0.380916855,0.50861375,0.348488305,0.2853778,0.28439844,0.45685954,0.40035866,0.361031389,0.376252588,0.385548588,0.352787718,0.357358988,0.375558268,0.48836981,0.27355168,0.41520072,0.259292846,0.242658666,0.221016966,0.24531638,0.209239036,0.23095911,0.252362056,0.356674055,0.306270807,0.30963498,0.373052646,0.329660595,0.3716054,0.31047097,0.351366535,0.315292881,0.354451205,0.31436117,0.328715617,0.329757137,0.326749769,0.33329086,0.32102559,0.282980266,0.263221202,0.24871631,0.2666884,0.261908393,0.26955322,0.289586605,0.269132772,0.273185825,0.29633758,0.279853003,0.28022238,0.29688788,0.29119218,0.273796382,0.29565297,0.264121718,0.282993213,0.27830457,0.19155635,0.26916876,0.336533898,0.350858248,0.33812786,0.33791919,0.319192067,0.310025349,0.340035379,0.344880889,0.351688789,0.344616439,0.337638179,0.347524119,0.333468269,0.469407439,0.511177109,0.439775469,0.498863889,0.37374932,0.369140841,0.373963711,0.34424363,0.34156231,0.360001369,0.348190519,0.34825506
APHA001,0.48182488,0.287821909,0.307759279,0.34063193,0,0.301462379,0.34005981,0.371941111,0.389730918,0.39329695,0.389145552,0.35851805,0.4008454,0.370429175,0.383868241,0.40159433,0.386239305,0.41554086,0.3779548,0.399603325,0.38044377,0.40248369,0.347204379,0.38388963,0.3333891,0.25009011,0.28227179,0.27026214,0.31528432,0.30920244,0.316941875,0.325268915,0.306731705,0.299437695,0.288130115,0.254133845,0.299764225,0.271286535,0.326570615,0.317573445,0.334423175,0.336690145,0.312062325,0.48285644,0.279633775,0.37644577,0.37546641,0.43110223,0.37460135,0.335274079,0.307398058,0.316694058,0.283933188,0.288504458,0.306703738,0.4626125,0.36461965,0.38944341,0.388733776,0.372099596,0.350457896,0.37475731,0.338679966,0.36040004,0.381802986,0.287819525,0.237416277,0.24078045,0.304198116,0.260806065,0.30275087,0.24161644,0.282512005,0.246438351,0.285596675,0.24550664,0.302958307,0.303999827,0.300992459,0.26443633,0.25217106,0.374048236,0.354289172,0.33978428,0.35775637,0.352976363,0.36062119,0.380654575,0.360200742,0.364253795,0.38740555,0.370920973,0.37129035,0.38795585,0.38226015,0.364864352,0.38672094,0.355189688,0.374061183,0.36937254,0.32099728,0.27804397,0.267679368,0.282003718,0.26927333,0.26906466,0.250337537,0.284268039,0.314278069,0.319123579,0.325931479,0.318859129,0.311880869,0.321766809,0.307710959,0.443650129,0.485419799,0.414018159,0.473106579,0.30489479,0.300286311,0.305109181,0.2753891,0.27270778,0.334244059,0.322433209,0.27940053
BOTH001,0.437683659,0.18751013,0.2074475,0.327219689,0.301462379,0,0.326647569,0.35852887,0.376318677,0.379884709,0.375733311,0.345105809,0.387433159,0.357016934,0.370456,0.388182089,0.372827064,0.402128619,0.364542559,0.386191084,0.367031529,0.389071449,0.333792138,0.370477389,0.319976859,0.279775089,0.311956769,0.299947119,0.295228159,0.289146279,0.346626854,0.354953894,0.336416684,0.329122674,0.317815094,0.283818824,0.329449204,0.300971514,0.356255594,0.347258424,0.364108154,0.366375124,0.341747304,0.438715219,0.309318754,0.363033529,0.362054169,0.386961009,0.330460129,0.2349623,0.337083037,0.346379037,0.313618167,0.318189437,0.336388717,0.418471279,0.351207409,0.345302189,0.375321535,0.358687355,0.337045655,0.361345069,0.325267725,0.346987799,0.368390745,0.317504504,0.267101256,0.270465429,0.333883095,0.290491044,0.332435849,0.271301419,0.312196984,0.27612333,0.315281654,0.275191619,0.202646528,0.203688048,0.20068068,0.294121309,0.281856039,0.360635995,0.340876931,0.326372039,0.344344129,0.339564122,0.347208949,0.367242334,0.346788501,0.350841554,0.373993309,0.357508732,0.357878109,0.374543609,0.368847909,0.351452111,0.373308699,0.341777447,0.360648942,0.355960299,0.307585039,0.264631729,0.297364347,0.311688697,0.298958309,0.298749639,0.280022516,0.18395626,0.21396629,0.2188118,0.2256197,0.21854735,0.21156909,0.22145503,0.20739918,0.39308135,0.43485102,0.36344938,0.4225378,0.334579769,0.32997129,0.33479416,0.305074079,0.302392759,0.23393228,0.22212143,0.309085509
CAMP001,0.50701007,0.313007099,0.332944469,0.24899184,0.34005981,0.326647569,0,0.191429001,0.138175008,0.14174104,0.137589642,0.17800594,0.14928949,0.118873265,0.203356131,0.22108222,0.134683395,0.16398495,0.19744269,0.148047415,0.19993166,0.15092778,0.166692269,0.20337752,0.15287699,0.31837252,0.3505542,0.33854455,0.34046951,0.33438763,0.385224285,0.393551325,0.375014115,0.367720105,0.356412525,0.322416255,0.368046635,0.339568945,0.394853025,0.385855855,0.402705585,0.404972555,0.380344735,0.50804163,0.347916185,0.19593366,0.1949543,0.45628742,0.39978654,0.360459269,0.375680468,0.384976468,0.352215598,0.356786868,0.374986148,0.48779769,0.24776576,0.4146286,0.297093686,0.280459506,0.258817806,0.28311722,0.247039876,0.26875995,0.290162896,0.356101935,0.305698687,0.30906286,0.372480526,0.329088475,0.37103328,0.30989885,0.350794415,0.314720761,0.353879085,0.31378905,0.328143497,0.329185017,0.326177649,0.33271874,0.32045347,0.193536126,0.173777062,0.15927217,0.17724426,0.172464253,0.18010908,0.200142465,0.179688632,0.183741685,0.20689344,0.190408863,0.19077824,0.20744374,0.20174804,0.184352242,0.20620883,0.174677578,0.193549073,0.18886043,0.22935719,0.26859664,0.335961778,0.350286128,0.33755574,0.33734707,0.318619947,0.309453229,0.339463259,0.344308769,0.351116669,0.344044319,0.337066059,0.346951999,0.332896149,0.468835319,0.510604989,0.439203349,0.498291769,0.3731772,0.368568721,0.373391591,0.34367151,0.34099019,0.359429249,0.347618399,0.34768294
CAMP003,0.538891371,0.3448884,0.36482577,0.280873141,0.371941111,0.35852887,0.191429001,0,0.241100109,0.244666141,0.240514743,0.056743221,0.252214591,0.221798366,0.05179267,0.182680281,0.237608496,0.266910051,0.159040751,0.250972516,0.161529721,0.253852881,0.030227348,0.164975581,0.068218571,0.350253821,0.382435501,0.370425851,0.372350811,0.366268931,0.417105586,0.425432626,0.406895416,0.399601406,0.388293826,0.354297556,0.399927936,0.371450246,0.426734326,0.417737156,0.434586886,0.436853856,0.412226036,0.539922931,0.379797486,0.157531721,0.156552361,0.488168721,0.431667841,0.39234057,0.407561769,0.416857769,0.384096899,0.388668169,0.406867449,0.519678991,0.279647061,0.446509901,0.328974987,0.312340807,0.290699107,0.314998521,0.278921177,0.300641251,0.322044197,0.387983236,0.337579988,0.340944161,0.404361827,0.360969776,0.402914581,0.341780151,0.382675716,0.346602062,0.385760386,0.345670351,0.360024798,0.361066318,0.35805895,0.364600041,0.352334771,0.191318627,0.171559563,0.157054671,0.175026761,0.170246754,0.177891581,0.197924966,0.177471133,0.181524186,0.204675941,0.188191364,0.188560741,0.205226241,0.199530541,0.182134743,0.203991331,0.172460079,0.191331574,0.186642931,0.261238491,0.300477941,0.367843079,0.382167429,0.369437041,0.369228371,0.350501248,0.34133453,0.37134456,0.37619007,0.38299797,0.37592562,0.36894736,0.3788333,0.36477745,0.50071662,0.54248629,0.47108465,0.53017307,0.405058501,0.400450022,0.405272892,0.375552811,0.372871491,0.39131055,0.3794997,0.379564241
CAMP004,0.556681178,0.362678207,0.382615577,0.298662948,0.389730918,0.376318677,0.138175008,0.241100109,0,0.055466628,0.001626722,0.227677048,0.112740718,0.082324493,0.253027239,0.270753328,0.098134623,0.127436178,0.247113798,0.111498643,0.249602768,0.030246908,0.216363377,0.253048628,0.202548098,0.368043628,0.400225308,0.388215658,0.390140618,0.384058738,0.434895393,0.443222433,0.424685223,0.417391213,0.406083633,0.372087363,0.417717743,0.389240053,0.444524133,0.435526963,0.452376693,0.454643663,0.430015843,0.557712738,0.397587293,0.245604768,0.244625408,0.505958528,0.449457648,0.410130377,0.425351576,0.434647576,0.401886706,0.406457976,0.424657256,0.537468798,0.297436868,0.464299708,0.346764794,0.330130614,0.308488914,0.332788328,0.296710984,0.318431058,0.339834004,0.405773043,0.355369795,0.358733968,0.422151634,0.378759583,0.420704388,0.359569958,0.400465523,0.364391869,0.403550193,0.363460158,0.377814605,0.378856125,0.375848757,0.382389848,0.370124578,0.243207234,0.22344817,0.208943278,0.226915368,0.222135361,0.229780188,0.249813573,0.22935974,0.233412793,0.256564548,0.240079971,0.240449348,0.257114848,0.251419148,0.23402335,0.255879938,0.224348686,0.243220181,0.238531538,0.279028298,0.318267748,0.385632886,0.399957236,0.387226848,0.387018178,0.368291055,0.359124337,0.389134367,0.393979877,0.400787777,0.393715427,0.386737167,0.396623107,0.382567257,0.518506427,0.560276097,0.488874457,0.547962877,0.422848308,0.418239829,0.423062699,0.393342618,0.390661298,0.409100357,0.397289507,0.397354048
CAMP005,0.56024721,0.366244239,0.386181609,0.30222898,0.39329695,0.379884709,0.14174104,0.244666141,0.055466628,0,0.054881262,0.23124308,0.11630675,0.085890525,0.256593271,0.27431936,0.101700655,0.13100221,0.25067983,0.115064675,0.2531688,0.0682194,0.219929409,0.25661466,0.20611413,0.37160966,0.40379134,0.39178169,0.39370665,0.38762477,0.438461425,0.446788465,0.428251255,0.420957245,0.409649665,0.375653395,0.421283775,0.392806085,0.448090165,0.439092995,0.455942725,0.458209695,0.433581875,0.56127877,0.401153325,0.2491708,0.24819144,0.50952456,0.45302368,0.413696409,0.428917608,0.438213608,0.405452738,0.410024008,0.428223288,0.54103483,0.3010029,0.46786574,0.350330826,0.333696646,0.312054946,0.33635436,0.300277016,0.32199709,0.343400036,0.409339075,0.358935827,0.3623,0.425717666,0.382325615,0.42427042,0.36313599,0.404031555,0.367957901,0.407116225,0.36702619,0.381380637,0.382422157,0.379414789,0.38595588,0.37369061,0.246773266,0.227014202,0.21250931,0.2304814,0.225701393,0.23334622,0.253379605,0.232925772,0.236978825,0.26013058,0.243646003,0.24401538,0.26068088,0.25498518,0.237589382,0.25944597,0.227914718,0.246786213,0.24209757,0.28259433,0.32183378,0.389198918,0.403523268,0.39079288,0.39058421,0.371857087,0.362690369,0.392700399,0.397545909,0.404353809,0.397281459,0.390303199,0.400189139,0.386133289,0.522072459,0.563842129,0.492440489,0.551528909,0.42641434,0.421805861,0.426628731,0.39690865,0.39422733,0.412666389,0.400855539,0.40092008
