ID-AccessD,SpCode,Storage,SampleCode,Positiononpinfromtop,Caste,Measurer,Method,HeadWidth,HeadLength,ClypeusLength,MandibleLength,InterocularDistance,EyeWidth,EyeLength,HindFemur,HindTibia,Spinosity,Sculpturing,Polymorphism,Invasive,AlitrunkSpines,PetiolarSpines
1,ANOC 001,dry,HP0093,2,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.08,1.17,0.12,0.67,0.82,0.12,0.15,0.98,0.82,0,2,1,2,0,0
2,ANOC 001,dry,HP0093,3,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.13,1.05,0.15,0.71,0.81,0.13,0.13,1.01,0.93,0,2,1,2,0,0
6,ANON 001,dry,HP0202,2,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.64,0.7,0.14,0.18,0.43,0.08,0.13,1.02,0.93,0,1.5,3,2,0,0
3,ANON 001,dry,HP0209 (bottom),4,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.82,0.83,0.21,0.37,0.55,0.12,0.18,1.4,1.33,0,1.5,3,2,0,0
7,ANON 001,dry,PKEE001 top,1,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.76,0.8,0.21,0.36,0.51,0.11,0.15,1.2,1.21,0,1.5,3,2,0,0
5,ANON 001,dry,PKEE010 top,1,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.76,0.79,0.19,0.23,0.44,0.07,0.13,0.96,0.81,0,1.5,3,2,0,0
4,ANON 001,dry,PKEE018 top,1,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.81,0.92,0.24,0.39,0.52,0.12,0.19,1.52,1.23,0,1.5,3,2,0,0
8,ANON 001,dry,PKEE036 top,1,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.79,0.87,0.19,0.37,0.54,0.12,0.17,1.27,1.19,0,1.5,3,2,0,0
11,ANON 002,dry,PKEE109 top,,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.63,0.73,0.17,0.23,0.4,0.08,0.13,0.56,0.5,0,2,1,2,0,0
10,ANON 002,dry,PKEE140 bottom,,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.57,0.63,0.14,0.21,0.35,0.07,0.12,0.48,0.43,0,2,1,2,0,0
9,ANON 002,dry,PKEE141 bottom,,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.6,0.6,0.18,0.24,0.36,0.07,0.12,0.52,0.73,0,1.5,1,2,0,0
13,ANOP 001,dry,HP0176 bottom,,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.67,0.92,0.22,0.3,0.43,0.2,0.22,2.03,2.07,0,1,1,1,0,0
12,ANOP 001,dry,PKEE024 bottom,,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.7,0.87,0.22,,0.43,0.18,0.22,1.8,1.83,0,1,1,1,0,0
14,APHA 001,dry,PKEE097,1,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.96,2.42,0.38,0.77,,0.25,0.21,4.89,4.32,2,1.5,1,2,2,0
16,APHA 001,wet,PKEE171,,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.45,2.61,0.45,1,0.98,0.27,0.36,5.35,4.39,2,1.5,1,2,2,0
15,APHA 001,wet,WP4B1001-4,,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.35,2.56,0.6,0.75,0.93,0.25,0.34,4.97,4.05,2,1.5,1,2,2,0
17,BOTH 001,dry,PKEE125,2,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.48,0.5,0.06,0.26,0.36,0.06,0.08,0.26,0.3,0,1,1,2,0,0
18,BOTH 001,dry,PKEE125,1,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.42,0.49,0.08,0.2,0.33,0.06,0.08,0.25,0.33,0,1,1,2,0,0
19,BOTH 001,dry,PKEE125,3,worker,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.48,0.5,0.1,0.23,0.36,0.06,0.08,0.32,0.37,0,1,1,2,0,0
26,CAMP 001,dry,HP0009,1,major,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.2,1.23,0.27,0.47,0.9,0.26,0.35,1.62,1.67,0,1.5,2,2,0,0
27,CAMP 001,dry,HP0009,2,major,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.3,1.42,0.57,0.52,1,0.2,0.27,1.02,1,0,1.5,2,2,0,0
20,CAMP 001,dry,HP0064,1,major,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.25,1.42,0.54,0.46,1,0.2,0.26,1.14,1.14,0,1.5,2,2,0,0
21,CAMP 001,dry,HP0064,3,major,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.33,1.45,0.45,0.38,1.02,0.19,0.26,1,1.07,0,1.5,2,2,0,0
22,CAMP 001,dry,HP0064,2,major,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.45,1.48,0.6,0.6,1.07,0.26,0.35,1.53,1.58,0,1.5,2,2,0,0
30,CAMP 001,dry,HP0009,3,minor,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.85,0.81,0.29,0.37,0.61,0.18,0.24,1.07,1.01,0,1.5,2,2,0,0
23,CAMP 001,dry,HP0064,4,minor,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.81,0.8,0.24,0.35,0.6,0.18,0.24,1.01,0.96,0,1.5,2,2,0,0
24,CAMP 001,dry,HP0113,4,minor,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.86,0.86,0.26,0.36,0.62,0.18,0.25,1.1,1.07,0,1.5,2,2,0,0
25,CAMP 001,dry,PKEE023,3,minor,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.85,0.94,0.29,0.37,0.61,0.18,0.23,1.04,1.07,0,1.5,2,2,0,0
28,CAMP 001,dry,PKEE023,2,minor,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.87,0.86,0.27,0.37,0.63,0.18,0.24,1.11,1.1,0,1.5,2,2,0,0
29,CAMP 001,dry,PKEE023,1,minor,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.83,0.88,0.27,0.36,0.63,0.18,0.24,1.07,1.05,0,1.5,2,2,0,0
31,CAMP 003,dry,HP0208,3,major,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.8,2.13,0.76,0.73,1.37,0.26,0.35,1.5,1.58,0,1.5,2,2,0,0
35,CAMP 003,dry,HP0623,,major,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.5,1.69,0.48,0.55,1.18,0.24,0.33,1.17,1.17,0,1.5,2,2,0,0
36,CAMP 003,dry,HP0144,1,minor,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",0.99,0.85,0.32,0.43,0.75,0.19,0.24,1.01,1.02,0,1.5,2,2,0,0
32,CAMP 003,dry,HP0208,4,minor,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.28,1.43,0.39,0.54,0.93,0.24,0.3,1.42,1.47,0,1.5,2,2,1,0
33,CAMP 003,dry,HP0623,,minor,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.08,1.13,0.27,0.45,0.83,0.19,0.25,0.92,0.92,0,1.5,2,2,0,0
34,CAMP 003,dry,HP0623,,minor,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.12,1.17,0.26,0.42,0.86,0.2,0.26,0.95,1.05,0,1.5,2,2,0,0
37,CAMP 003,dry,PKEE0012,2,minor,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.27,1.4,0.38,0.48,0.93,0.23,0.31,1.38,1.45,0,1.5,2,2,0,0
38,CAMP 003,dry,PKEE0012,1,minor,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.29,1.48,0.39,0.49,0.95,0.24,0.29,1.42,1.07,0,1.5,2,2,0,0
40,CAMP 004,dry,HP0030,3,major,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.11,1.25,0.51,0.48,0.85,0.21,0.32,0.79,0.83,0,1.5,2,2,0,0
41,CAMP 004,dry,HP0101,3,major,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.14,1.25,0.48,0.48,0.89,0.21,0.3,0.77,0.89,0,1.5,2,2,0,0
39,CAMP 004,dry,PKEE047,1,major,Nichola Plowman,"Olympus SZX7 stereomicroscope with magnification 18x to 126x, fitted with an ocular graticule",1.1,1.24,0.48,0.48,0.87,0.21,0.29,0.83,0.89,0,1.5,2,2,0,0
